"role";"actorname";"actorimdb";"titlename";"titleimdb"
"Young Bride 1 episode, 2018";"Andrea Andrade";"https://www.imdb.com/name/nm5573198";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Vance Caruthers 1 episode, 2018";"Billy Slaughter";"https://www.imdb.com/name/nm1551999";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Taxi Driver 1 episode, 2018";"James Dean Smith";"https://www.imdb.com/name/nm5134616";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Jeremiah 1 episode, 2018";"Chandler Ryne Hollingsworth";"https://www.imdb.com/name/nm9907030";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Gregory 1 episode, 2018";"Preston Schrag";"https://www.imdb.com/name/nm4806695";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Rick's Friend 1 episode, 2018";"Tyler Galpin";"https://www.imdb.com/name/nm2136854";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Choir Member #1 1 episode, 2018";"Johnny Balance";"https://www.imdb.com/name/nm9906797";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Choir Member #2 1 episode, 2018";"Lucia Boyd";"https://www.imdb.com/name/nm3142042";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Choir Member #3 1 episode, 2018";"Marisa Davila";"https://www.imdb.com/name/nm7493686";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Jack Rogers 1 episode, 2018";"Joshua C. Allen";"https://www.imdb.com/name/nm5580844";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Welder Charlie 1 episode, 2018";"Sean Paul Braud";"https://www.imdb.com/name/nm3762501";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Leland Wilson 1 episode, 2018";"Michael A. Cook";"https://www.imdb.com/name/nm6355840";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Ewin Wilson 1 episode, 2018";"Jason Dowies";"https://www.imdb.com/name/nm5606660";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Mother 1 episode, 2018";"Michelle Keller";"https://www.imdb.com/name/nm2952763";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Police Officer 1 episode, 2018";"Anthony Molinari";"https://www.imdb.com/name/nm1190376";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Daniels 1 episode, 2018";"Shawn Parsons";"https://www.imdb.com/name/nm2001061";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Bobo Smith 1 episode, 2018";"Stefan Rollins";"https://www.imdb.com/name/nm3974042";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Dr. Bernard Sanjo 1 episode, 2018";"James Saito";"https://www.imdb.com/name/nm0756839";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Belinda 1 episode, 2018";"Malone Thomas";"https://www.imdb.com/name/nm5945073";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Lafayette 1 episode, 2018";"Josh Ventura";"https://www.imdb.com/name/nm4131598";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Basketball Referee / ... (uncredited) 2 episodes, 2018";"Aaron Mitchell";"https://www.imdb.com/name/nm7730296";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Bookies Hitman (uncredited) 1 episode, 2018";"John L. Armijo";"https://www.imdb.com/name/nm4597836";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Cheerleader (uncredited) 1 episode, 2018";"Stacy Brewer";"https://www.imdb.com/name/nm7585475";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Hancock Player #3 (uncredited) 1 episode, 2018";"Donny Carrington";"https://www.imdb.com/name/nm5355228";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Rig Worker (uncredited) 1 episode, 2018";"Devin Lord Chachere";"https://www.imdb.com/name/nm8439294";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Police Officer (uncredited) 1 episode, 2018";"Rebecca Chulew";"https://www.imdb.com/name/nm5307554";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Club Bouncer (uncredited) 1 episode, 2018";"Mitch Craft";"https://www.imdb.com/name/nm8740649";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Dancer (Katie) (uncredited) 1 episode, 2018";"Ainsley Reagan Dobbs";"https://www.imdb.com/name/nm8553394";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Cheerleader (uncredited) 1 episode, 2018";"Sarah-Grace Donnelly";"https://www.imdb.com/name/nm9919641";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Mardi Gras Indian Tambourine (uncredited) 1 episode, 2018";"Divine Prince Ty Emmecca";"https://www.imdb.com/name/nm5954818";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Highschool Partygirl (uncredited) 1 episode, 2018";"Isabella Esposito";"https://www.imdb.com/name/nm8835952";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Detective Budge (uncredited) 1 episode, 2018";"Chad Governale";"https://www.imdb.com/name/nm8427859";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Priest (uncredited) 1 episode, 2018";"William E. Harris";"https://www.imdb.com/name/nm7014938";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Parent at Game (uncredited) 1 episode, 2018";"Shawn Bradly Hoefer";"https://www.imdb.com/name/nm8846371";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Club Dancer / ... (uncredited) 1 episode, 2018";"Julia Holt";"https://www.imdb.com/name/nm7437690";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Club Patron / ... (uncredited) 1 episode, 2018";"Natosha Humphrey";"https://www.imdb.com/name/nm8791609";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Police Officer (uncredited) 1 episode, 2018";"Steve Kish";"https://www.imdb.com/name/nm6932932";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Teacher (uncredited) 1 episode, 2018";"Donald M. Krause";"https://www.imdb.com/name/nm7680705";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Dancer (uncredited) 1 episode, 2018";"Cristalle C. Leonard";"https://www.imdb.com/name/nm7360809";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"1920's Rioter / ... (uncredited) 1 episode, 2018";"Michael McQuillan";"https://www.imdb.com/name/nm9879689";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Basketball Player (uncredited) 1 episode, 2018";"Bruce Edwin Melan";"https://www.imdb.com/name/nm9066289";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"NOPD Officer (uncredited) 1 episode, 2018";"Mike R. Moreau";"https://www.imdb.com/name/nm6455317";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"1919 Patient (uncredited) 1 episode, 2018";"Brad Napp";"https://www.imdb.com/name/nm8533827";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Kitchen Worker (uncredited) 1 episode, 2018";"Ron M Patterson";"https://www.imdb.com/name/nm7050521";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Basketball spectator (2018) (uncredited) unknown episodes";"John Garcia";"https://www.imdb.com/name/nm6940382";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
