"role";"actorname";"actorimdb";"titlename";"titleimdb"
"News Reporter (uncredited)";"Dr. Mark W. Berry";"https://www.imdb.com/name/nm5267092";"Iron Man";"https://www.imdb.com/title/tt0371746"
"Georgio (uncredited)";"Russell Bobbitt";"https://www.imdb.com/name/nm0090309";"Iron Man";"https://www.imdb.com/title/tt0371746"
"Afghani Fighter (uncredited)";"Jon Braver";"https://www.imdb.com/name/nm0106004";"Iron Man";"https://www.imdb.com/title/tt0371746"
"Fireman's Wife (uncredited)";"Vianessa Castaños";"https://www.imdb.com/name/nm3095343";"Iron Man";"https://www.imdb.com/title/tt0371746"
"Gulmira Villager (uncredited)";"Mike Cochrane";"https://www.imdb.com/name/nm2490987";"Iron Man";"https://www.imdb.com/title/tt0371746"
"Dubai Beauty (uncredited)";"Crystal Marie Denha";"https://www.imdb.com/name/nm2407968";"Iron Man";"https://www.imdb.com/title/tt0371746"
"Himself - USAF Helicopter Pilot (uncredited)";"Yonel Dorelis";"https://www.imdb.com/name/nm6260186";"Iron Man";"https://www.imdb.com/title/tt0371746"
"Dubai Girl (uncredited)";"Mellany Gandara";"https://www.imdb.com/name/nm2081556";"Iron Man";"https://www.imdb.com/title/tt0371746"
"Afghani Insurgent (uncredited)";"Glenn Goldstein";"https://www.imdb.com/name/nm0326217";"Iron Man";"https://www.imdb.com/title/tt0371746"
"House wife at Award Ceremony (uncredited)";"Halla";"https://www.imdb.com/name/nm2955994";"Iron Man";"https://www.imdb.com/title/tt0371746"
"Insurgent (uncredited)";"Rodrick Hersh";"https://www.imdb.com/name/nm2555437";"Iron Man";"https://www.imdb.com/title/tt0371746"
"Reporter (uncredited)";"Kristin J. Hooper";"https://www.imdb.com/name/nm3923280";"Iron Man";"https://www.imdb.com/title/tt0371746"
"Nick Fury (uncredited)";"Samuel L. Jackson";"https://www.imdb.com/name/nm0000168";"Iron Man";"https://www.imdb.com/title/tt0371746"
"Dubai Waiter (uncredited)";"Chris Jalandoni";"https://www.imdb.com/name/nm1599104";"Iron Man";"https://www.imdb.com/title/tt0371746"
